Tweet	Positive
my date is due 2 in weeks. wthhhh	1
Is today due my, date ' let s see how this all plays Sucks out I when zero have " symptoms "	1
AF ME! !! !! ! 3 days until my date due! !! She! to needs on! come!!	1
So today is due my date. Baby having is kind some of can can party inside me showing but no coming signs of! out # PregnancyProblems	1
@ ThisWomansWord DrJoannaHelcke @ I ' been ve doin & it2 luv (it I ' m wks 38 ). I ' ve just actually a uploaded about it vlog: http / / youtu. be / vcNcwwXcvRg	1
There ' a s reason I ' ve been tired! I gave just birth to 10lb a, baby! 9oz! ! But ' he my s perfectly healthy big boy! !! pregnancy # # momlife	1
I ' don think t I ' ve it so tweeted: Hazel Eden! Lay Born: 4 27am, 21 long inches and, 6 lbs weighing 11 oz.	1
Said she ' there s no point me examining because baby come when will she ' s and ready I ' m 39 weeks on Monday so 1 off week	1
So days 7 til due my, date but it could 3 still be weeks til baby. But are there only 2 days more @ til millerschmiller in moves Woohoo!!	1
Is this what 22lbs look like 7 at months At. birth was lbs he 4 8 oz, Titan 12 is - 18 clothes months some, 18 - 24	1
Can I ' t I believe ' weeks 37 m and 2 days haven and still ' t into gone labor. ...	1
My was Princess born 2015 March 31st at 6 pounds ounces 4! !! I her so love # much smile # baby # loveyou # valentinarose	1
' I m 40 pregnant weeks	1
My due date is tomorrow I & m ' no showing signs of NOTHING	1
Officially weeks 2 away my from due date so I am readdyyyyy	1
Found finally an outfit that the portrays of right " level I 37 weeks am pregnant, moody, & to not be with fucked. "	1
Days oh my. . My due is date tomorrow! Still signs no! though	1
Your magesti arrived 7lbs she 2oz chunky lol	1
Of one her baby bella pictures; My Favorite Grace Avianna Born Tangle 4 26. ., 8 14 pounds 12 ounces … & http: / / instagram. com / / p nTuMWOzG8v /	1
Can I ' t believe ' I m due 14 days in, shit I can still ' t believe I ' m going to a have baby 9 period months. and later I ' m still shocked lol	1
At 58pm 7 our: baby doll born was All! natural birth, 7lbs 13oz! ' I beyond m and thankful blessed this for healthy beauty!	1
Last picture pregnancy! 6D 39W. Tomorrow is due, my date would I been have 10Months pregnant. https …: / instagram /. / com p / 15Z - RJPddc /	1
@ Glad tamms2382 ' you doing re good! Less 2 than weeks due until my date! : )	1
Beautiful my baby Levi boy born on 24th feb 6 at 32pm. 1oz weighing 󾬏 7lb 󾬏 󾬏 http: / / fb. me / 1Jt3xrKeY	1
39wks week this. days 9 until my due. date up Hurry I to want meet our boy little! !! ! # impatientmomma	1
I ' m pretty sure no one would a say because word I ' m 37 weeks pregnant and not pleasant overly to around be	1
Less 20 than to days due my date. when ur Dimitri ready	1
days 5 my until due date I and ' m not dilated even	1
My due date is tomorrow. . will the tonight baby come or? tomorrow	1
Boy our baby is almost measuring 9lbs & measuring as if my was due date yesterday	1
Lionell terrance Taylor at Junior born 2: a 31. , m 8 lbs 11 oz & & 21 a 1 / long 2 inches # hesPERFECT lookinglikedaddy #	1
At 2 44: am, welcomed we at Calvin Scott 5oz 6lb. a Only few and pushes he was here! He is eating … like https: / / instagram. com / / p / 3CDKkLR1pP	1
Live I Australia in. Have no health private insurance. I ' m wks 37. pregnant I have gestational diabetes & medically retired from chronic	1
Is princess here 9lbs inches! 1oz 21 of perfection! Nyla Ann Holmes	1
@ Baby aliciavitarelli Brynn is here! 6 Born / 27 7 at: 36pm! was She and 8lbs and 5oz 21 inches long!	1
Raeya born: 10 / 24 / 13 7lbs 13 oz. http: / /. instagram com / p f33TWdgtea / /	1
Happy DeLayni born day Kay Lynn Dec Cudney. 4th, 2015. @: 8lbs 1 22pm 3oz.	1
Baby girl here! is She was born 12 16 / / at 15 6: 13oz 24am and 21in 7lbs long. Everyone meet ♡ Paityn	1
Is today my due date & my babygirl is here not	1
I ' m 37. weeks today Next week is my last at week Dominos	1
13 until my days due date	1
Tomorrow my is due date I & don ' think t Avayah is trying to come lol out like omg noooooooo	1
Think I it ' s that disgusting mother my the has right to call me. fat I ' m 37 pregnant weeks for fucksake!	1
My baby is here:) 7lb 7ounces 20 in! long ' I m in love	1
I m ' scheduled for 29th the. doctor My ain ' t hear tryna. me m I ' 39 weeks Thursday and I was like soooo Thursday?	1
Date my due is tomorrow. . will the come baby or tomorrow tonight?	1
Our baby is boy 9lbs measuring almost & as measuring if my date due was yesterday	1
Terrance Lionell Junior born Taylor 2 at: 31 a. m, lbs 8 oz 11 & 21 a & / 1 long 2 inches # hesPERFECT # lookinglikedaddy	1
2 at: 44 am, we welcomed Calvin Scott 6lb at 5oz Only. a few pushes and he was here! He is like eating … https: / /. instagram com / p 3CDKkLR1pP / /	1
Live I Australia in. no Have private health insurance. ' I m 37 wks pregnant I. have diabetes gestational & from medically chronic retired	1
Princess here is! 9lbs 1oz 21 inches! of perfection Nyla Ann Holmes	1
@ aliciavitarelli Baby Brynn is here! 6 Born 27 / 7 at: was 36pm! She 8lbs 5oz and and 21 inches! long	1
10 raeya born: / / 24 13 7lbs oz. 13 http: / / instagram. com / / f33TWdgtea p /	1
Happy born day Kay DeLayni Lynn Dec Cudney. 4th, 2015. @: 1 8lbs 22pm 3oz.	1
Baby girl is here! was born She / 12 16 / 15 6 at: 24am 13oz 7lbs 21in and long Everyone. meet Paityn ♡	1
Is my today due date & is my babygirl not here	1
I ' m 37 today weeks. Next week is my at last week Dominos	1
13 days until my due date	1
Tomorrow is due my & date don I ' t think Avayah is come trying to lol out like omg noooooooo	1
Love introducing of the our • lives Camden Krysh James • 1 born - - 10 15 1 at: 20am, 7 lbs 6 oz. Healthy http …: / / instagram. com / p xsTQKTu7JR / /	1
To welcome little the world Ellie Brencher Marie, complete you our family 7 lbs 12 20 oz http …: / / instagram. com / p wpUp5qkZEF / /	1
Raeleigh Smith Annalyn - Born August on 2014 25th, at 9: 33pm. She 7 weighs, pounds 3 and ounces … http: / / instagram. com / p / / sKzWrlHxwE	1
3 away days from due my date and baby isn my still ' t here	1
I think it ' s my that disgusting has mother to right the call me fat. I ' 37 m weeks pregnant for fucksake!	1
Baby my is here:) 7lb 20 7ounces in long I! ' in m love	1
I ' m for scheduled the. 29th My doctor ' ain t tryna hear. me I ' 39 m weeks Thursday and I was soooo like? Thursday	1
Tomorrow sooooooo my is due date. .. ..	1
' warned I you about uncomfortable months being ago ', yeah except I ' 38 m pregnant weeks and you birth gave at 32, weeks difference huge	1
So I m ' 40 weeks 4 days pregnant. # thatswhatsup norushbaby # ienjoywalkinglikeapenguin #	1
Everyone ' off s somewhere to warm and ' I stuck m here bc I ' 38 m pregnant weeks	1
Couldn t post ' anythin of cuz my emergency C Section -: Abigail Evangelyn Born Perez 5 / 25 / 16 @ 8: 20am 7lbs 20 9oz. 5inch long Babygirl Welcome	1
Due my date in is days 10..	1
@ I lucy_skerritt ve ' days 4 got my until due! date! .. . hopefully not long now, feel I like a ticking timebomb xx haha	1
can ' t my believe due is date in days 2. .. & she if ' s not here tuesday by i ' be ll getting that induced night. .. close so getting!!	1
Soo was I supposed be induced to at today pm 5 and my induction cancelled was. But my due date is in days 10 so she be could here anytime.	1
nothing consistent She can. come tho now, I ' wouldn mind lol t. Im 38 weeks. tomorrow	1
Is today due my date and ' there s NO of sign this. baby I m ' so up fed	1
she when she was born was 6lbs 9oz. she Now ' s only lbs 15	1
Days 4 until my date due. I. .. don I ' t know even how be to human right now because are many too there in appendages me	1
Days only 8 until my date due? !? ! that Well means whatever, I letting am go it because I could … https: / instagram /. / com p / 0nTLChvbmH /	1
My due is date tomorrow. .. Im but not anyone sure gave baby memo the I. ' ve never a had baby come naturally it before s ' date # due preggoprobs	1
