Tweet	Positive	Negative
Welcome Keane Anthony! Born at 1:52am on 8/12/17 6lbs14oz 19.5". We love you so much! 	1	0
I'm 37 weeks & at 36 I was allowed to go on disability for being pregnant. 	1	0
@Corrinehounslow  hey hun im not sure if its normal since im FTM,but im 39 weeks 3 days and feeling a lot less movements from the little one? 	1	0
My kids went to the hospital with me today and got to see Journey via a sonogram.  Now being that I'm 38 weeks... http://fb.me/2L2YBHijP 	1	0
My due date is tomorrow. 	1	0
Greyson Ellis Estes  born at 2:47 am. 6lbs 14oz. 20 and half inches. We are so inlove!!!! 	1	0
Sa'Niyah so damn stubborn I'm 37 weeks and I HAVE NOT dilated not 1 cm.... Let me find out 	1	0
16 days til my due date but the doc thinks she will be here by Saturday 	1	0
My son was born early this morning weighing 7lbs 9 oz. Welcome to this world Little Eddie! Mommy & Daddy love you very much. :)  @LIFEasEDDIE 	1	0
dang lol I know you tired my son came out weighing 7lbs 12oz 	1	0
Hasn't quite sunk in that I'm full term now and could give birth anytime 	1	0
I am 39 weeks today! 6 days until my original due date and three days until we meet our Em! 	1	0
can't believe my due date is in 4 DAYS.. 	1	0
aw so cute! My baby boy was born the same day at 3:22am! And he weight 7lbs 14 oz and was 20inches long! So similar! 	1	0
@Courtneeeybooo  well I'm full term so any day now will due. Lol. 	1	0
6 days away from my due date I shot one of the most exciting weddings of my career! Thank you Susan from Picture... http://fb.me/3txAUwwNB 	1	0
Meet Avayah I'jae  8lbs 10oz , Thank You God !! 	1	0
Well yesterday was my due date and still no brixton. #HolyFrustration #IJustWantMyBaby 	1	0
Him Here Born at 2:34 am Dec4th 2014 6 pounds 9oz 18in long , he was well worth them 8 hours of labor 	1	0
Bitch gonna ask me if I wanna get checked today uhh Tf Bitch Do Ants Like Picnics I'm 39 weeks and 4 days Yess I... http://fb.me/70JRNylza 	1	0
Two years ago today my beautiful Harmony Renee was born at 4:21pm weighing 8 lbs 1 oz. Gosh where has time gone.... http://fb.me/1xx4ECwg5 	1	0
Me& @Mike__Hoe would like to introduce our boy George John Edward Hoe born 20/05/16 at 12.02am weighing 10lbs3oz 	1	0
Hunter Joshua Sulitz. Born at 2:08am. 8 lbs, 10oz. 20 inches long. Our world is now complete 	1	0
I'm 37 weeks now, finally full term! Can not wait!! 	1	0
I want to meet my baby already but I lowkey like her in there. My due date is tomorrow not sure if it's supposed to mean something now 	1	0
Last day of work &20 days till my due date! Today better be a good day! 	1	0
Finally had my baby yall! At 38 weeks and 2 days, Jayden Daniel came to this world at 5:26 am, weighs 8lbs 10oz, and is 22&1/2 inches long 	1	0
Welcome to the world, Taylor Paige! 4/7/14, 7lbs 7oz, 19.5in. She's 	1	0
Lilith Ariana Watters born Nov. 3 at 1:52 am. 7 pounds 5 ounces and 21 inches long. She's perfect. 	1	0
Baby Gabriel was born at 3:43am at home. He weighs 6lb 13oz. We're all doing fine - trying to catch… https://instagram.com/p/6ewq_VngUd/ 	1	0
Henry James Peter finally arrived yesterday weighing a massive 10lb 10oz! 	1	0
My babygirl Luna Analeigh Pearson born on 12/11/16 at 3:49 8pounds 6oz you are my everything 	1	0
Kali LeShaw Berthau is finally here  May 27, 2016 9:09am 6lbs 7oz 20in  Mommy & Daddy loves u Daughter  HBD 	1	0
@jjjjjenbitch when he was born he was 6 lbs and 15 oz and was 19 1/4 inches. How big is your daughter ?! 	1	0
Anthony Finn born 11/3/14 at 1836 8lbs 4oz 21 inches. 	1	0
Carter was born at 9:03 am on June 24th, 2015. 10 lbs 7 oz 22 1/2 after 6 hours of labor & 25 mins of pushing. It was perfect. 	1	0
My due date is tomorrow.... 	1	0
I want everyone to meet this little precious angel Weighing at 6lbs 6oz and 19 inches longShe was… http://instagram.com/p/v2IYZOPT05/ 	1	0
What?  I'm due in 4 days?!?  Time has flown by!  A #39weeks pregnancy update and my birth plan are in today's post! http://tinyurl.com/ngzfcp9 	1	0
sorry you guys missed it I'm 39 weeks tomorrow 	1	0
4 days til my due date. Waiting is THE WORST…however I keep playing “how many bks can I read before this kid pops out” game 10/10 #impatient 	1	0
Hello world of twitter  Freya Rose Karen Kent born 1/4/14 at 12.42 weighing 6lb 8oz #lovemyprincess 	1	0
Baby girl Liu is finally here! Born at 5:34am 8lb 4oz 21in and 12 days late! She's so beautiful and I can't wait to meet her today 	1	0
So today is my due date. Baby please be here soon! Lol #40weekspregnant 	1	0
@ItaliianBar6ie well considering I'm 37 weeks he could come any day! But I only have like 2 weeks until my due date :) 	1	0
today is my due date 	1	0
Doc appointment went great! Healthy baby gaining weight like a champ. She was 7 lbs 3 oz at birth (Saturday) & back up to 7 lb .5 oz today! 	1	0
@evissaweddings  @FaerieWishesUK I'm 40 weeks + 2 days now :-/ today is very warm yes!! I went to Greece at 6 months with my last! 30degrees! 	1	0
It's official, I am 40 weeks pregnant and today is our due date.. baby is still comfy though 	1	0
Eekk, I'm 39 weeks today! Which means soon I'll FINALLY find out what I'm having!!   Anyone want to take a guess... http://fb.me/1oKI8xlwF 	1	0
