source_text,target_text,predicted,original
"Welcome Keane Anthony! Born at 1:52am on 8/12/17 6lbs14oz 19.5"". We love you so much! ",Positive,Negative,Positive
I'm 37 weeks & at 36 I was allowed to go on disability for being pregnant. ,Positive,Positive,Positive
"@Corrinehounslow  hey hun im not sure if its normal since im FTM,but im 39 weeks 3 days and feeling a lot less movements from the little one? ",Positive,Positive,Positive
My kids went to the hospital with me today and got to see Journey via a sonogram.  Now being that I'm 38 weeks... http://fb.me/2L2YBHijP ,Positive,Positive,Positive
My due date is tomorrow. ,Positive,Positive,Positive
Greyson Ellis Estes  born at 2:47 am. 6lbs 14oz. 20 and half inches. We are so inlove!!!! ,Positive,Positive,Positive
Sa'Niyah so damn stubborn I'm 37 weeks and I HAVE NOT dilated not 1 cm.... Let me find out ,Positive,Positive,Positive
16 days til my due date but the doc thinks she will be here by Saturday ,Positive,Positive,Positive
My son was born early this morning weighing 7lbs 9 oz. Welcome to this world Little Eddie! Mommy & Daddy love you very much. :)  @LIFEasEDDIE ,Positive,Positive,Positive
dang lol I know you tired my son came out weighing 7lbs 12oz ,Positive,Positive,Positive
Hasn't quite sunk in that I'm full term now and could give birth anytime ,Positive,Positive,Positive
I am 39 weeks today! 6 days until my original due date and three days until we meet our Em! ,Positive,Positive,Positive
can't believe my due date is in 4 DAYS.. ,Positive,Positive,Positive
aw so cute! My baby boy was born the same day at 3:22am! And he weight 7lbs 14 oz and was 20inches long! So similar! ,Positive,Positive,Positive
@Courtneeeybooo  well I'm full term so any day now will due. Lol. ,Positive,Positive,Positive
6 days away from my due date I shot one of the most exciting weddings of my career! Thank you Susan from Picture... http://fb.me/3txAUwwNB ,Positive,Negative,Positive
"Meet Avayah I'jae  8lbs 10oz , Thank You God !! ",Positive,Positive,Positive
Well yesterday was my due date and still no brixton. #HolyFrustration #IJustWantMyBaby ,Positive,Positive,Positive
"Him Here Born at 2:34 am Dec4th 2014 6 pounds 9oz 18in long , he was well worth them 8 hours of labor ",Positive,Positive,Positive
Bitch gonna ask me if I wanna get checked today uhh Tf Bitch Do Ants Like Picnics I'm 39 weeks and 4 days Yess I... http://fb.me/70JRNylza ,Positive,Positive,Positive
Two years ago today my beautiful Harmony Renee was born at 4:21pm weighing 8 lbs 1 oz. Gosh where has time gone.... http://fb.me/1xx4ECwg5 ,Positive,Positive,Positive
Me& @Mike__Hoe would like to introduce our boy George John Edward Hoe born 20/05/16 at 12.02am weighing 10lbs3oz ,Positive,Positive,Positive
"Hunter Joshua Sulitz. Born at 2:08am. 8 lbs, 10oz. 20 inches long. Our world is now complete ",Positive,Positive,Positive
"I'm 37 weeks now, finally full term! Can not wait!! ",Positive,Negative,Positive
I want to meet my baby already but I lowkey like her in there. My due date is tomorrow not sure if it's supposed to mean something now ,Positive,Positive,Positive
Last day of work &20 days till my due date! Today better be a good day! ,Positive,Positive,Positive
"Finally had my baby yall! At 38 weeks and 2 days, Jayden Daniel came to this world at 5:26 am, weighs 8lbs 10oz, and is 22&1/2 inches long ",Positive,Positive,Positive
"Welcome to the world, Taylor Paige! 4/7/14, 7lbs 7oz, 19.5in. She's ",Positive,Positive,Positive
Lilith Ariana Watters born Nov. 3 at 1:52 am. 7 pounds 5 ounces and 21 inches long. She's perfect. ,Positive,Positive,Positive
Baby Gabriel was born at 3:43am at home. He weighs 6lb 13oz. We're all doing fine - trying to catch… https://instagram.com/p/6ewq_VngUd/ ,Positive,Positive,Positive
Henry James Peter finally arrived yesterday weighing a massive 10lb 10oz! ,Positive,Positive,Positive
My babygirl Luna Analeigh Pearson born on 12/11/16 at 3:49 8pounds 6oz you are my everything ,Positive,Positive,Positive
"Kali LeShaw Berthau is finally here  May 27, 2016 9:09am 6lbs 7oz 20in  Mommy & Daddy loves u Daughter  HBD ",Positive,Positive,Positive
@jjjjjenbitch when he was born he was 6 lbs and 15 oz and was 19 1/4 inches. How big is your daughter ?! ,Positive,Positive,Positive
Anthony Finn born 11/3/14 at 1836 8lbs 4oz 21 inches. ,Positive,Positive,Positive
"Carter was born at 9:03 am on June 24th, 2015. 10 lbs 7 oz 22 1/2 after 6 hours of labor & 25 mins of pushing. It was perfect. ",Positive,Positive,Positive
My due date is tomorrow.... ,Positive,Positive,Positive
I want everyone to meet this little precious angel Weighing at 6lbs 6oz and 19 inches longShe was… http://instagram.com/p/v2IYZOPT05/ ,Positive,Positive,Positive
What?  I'm due in 4 days?!?  Time has flown by!  A #39weeks pregnancy update and my birth plan are in today's post! http://tinyurl.com/ngzfcp9 ,Positive,Positive,Positive
sorry you guys missed it I'm 39 weeks tomorrow ,Positive,Positive,Positive
4 days til my due date. Waiting is THE WORST…however I keep playing “how many bks can I read before this kid pops out” game 10/10 #impatient ,Positive,Positive,Positive
Hello world of twitter  Freya Rose Karen Kent born 1/4/14 at 12.42 weighing 6lb 8oz #lovemyprincess ,Positive,Positive,Positive
Baby girl Liu is finally here! Born at 5:34am 8lb 4oz 21in and 12 days late! She's so beautiful and I can't wait to meet her today ,Positive,Positive,Positive
So today is my due date. Baby please be here soon! Lol #40weekspregnant ,Positive,Positive,Positive
@ItaliianBar6ie well considering I'm 37 weeks he could come any day! But I only have like 2 weeks until my due date :) ,Positive,Positive,Positive
today is my due date ,Positive,Positive,Positive
Doc appointment went great! Healthy baby gaining weight like a champ. She was 7 lbs 3 oz at birth (Saturday) & back up to 7 lb .5 oz today! ,Positive,Negative,Positive
@evissaweddings  @FaerieWishesUK I'm 40 weeks + 2 days now :-/ today is very warm yes!! I went to Greece at 6 months with my last! 30degrees! ,Positive,Positive,Positive
"It's official, I am 40 weeks pregnant and today is our due date.. baby is still comfy though ",Positive,Positive,Positive
"Eekk, I'm 39 weeks today! Which means soon I'll FINALLY find out what I'm having!!   Anyone want to take a guess... http://fb.me/1oKI8xlwF ",Positive,Positive,Positive
plus I'm 37 weeks now. I don't think I could manage a full concert. I can barely manage to walk to the bus stop lol ,Positive,Positive,Positive
Thank you love!! & I know it's crazy!! Today is my due date but I'm glad he hasn't came yet. He the real MVP for letting me have my bday ,Positive,Positive,Positive
9 days until my due date. ,Positive,Positive,Positive
12 Days till my due date !!!  Im so ready to see my babygirl & hold her ,Positive,Positive,Positive
Just did my first load of baby laundry....so tiny and adorable!  3 weeks until my due date!… http://instagram.com/p/wv0ST5tm54/ ,Positive,Negative,Positive
My Beautiful Daughter Naomí Tena   Born Today At 2:32pm  6 pounds & 6 Ounces ,Positive,Positive,Positive
thank you! I was shocked too lmao.. I'm due in 2 weeks! ,Positive,Negative,Positive
"Yesterday was my due date, today baby girl is 13 days old  so blessed to have her ",Positive,Positive,Positive
20 days until my due date!! ,Positive,Positive,Positive
"Carson James Treharne. Born 6/12/17. 12:02 a.m, 7 lbs 12 oz, 21 inches... my hearts so full i love you guys so much. ",Positive,Positive,Positive
I'm due in 5 days and I feel like everyday is just getting longer ,Positive,Positive,Positive
I am 40 weeks today. Lol ,Positive,Positive,Positive
I can't believe I have birth to a 8 lbs 8 oz Baby! Savannah really big af ,Positive,Positive,Positive
I'm due in 11 days I think I can start panicking now ,Positive,Positive,Positive
Well my due date is tomorrow everyone cross your fingers that little man #2 gets here soon ,Positive,Positive,Positive
"My little bundle of love  born April 11th, 8 pounds 4 oz. welcome to the world Melina Noeli ",Positive,Positive,Positive
@sieehiGhh I was due yesterday I go in 12 midnight Sunday ! I'm getting induced ,Positive,Positive,Positive
"But this is her, Amelia Jeanette Mitchell, born at 3:36am weighing 6lbs and 4oz. ",Positive,Positive,Positive
@mollyjforbes  @VivGroskop  thank you for posting those links! I am 41 weeks today and feeling like this: http://inforabumpyride.wordpress.com/2014/09/29/overdue-baby-anxiety/… ,Positive,Negative,Positive
At 12am its 1 day until my due date ,Positive,Positive,Positive
My due date is tomorrow and I'm already freaking tired of people asking when I'm having the baby or telling me to hurry up! ,Positive,Positive,Positive
I'm 37 weeks... with every contraction I get even more impatient! ,Positive,Negative,Positive
"World meet my new baby son, born Sunday 5th October at 9.50am, weighing 9lb 1oz. ",Positive,Positive,Positive
I Still Can't Believe That I Gave Birth To A 8lbs 7oz Baby ,Positive,Positive,Positive
"I birthed a 9lb 12 oz baby today. Tore pretty bad but doing much better now. What an amazing experience, besides the tearing. ",Positive,Negative,Positive
"@loosewomen  I'm 38 weeks pregnant and personally don't mind people who I know ticking my bump,but I feel very uneasy when strangers touch it ",Positive,Positive,Positive
"Little Lochlann blessed us with his arrival! Born at home today at 8:53 am, 7lbs 9 ounces , 21 1/4"". My skinniest... http://fb.me/3eMsnzOM7 ",Positive,Positive,Positive
"@QueenAnn1531  she was born 6lbs 11oz, 19in. But she was born almost 3 weeks early & had pneumonia in her lungs so she was in the NICU in ",Positive,Positive,Positive
Good morning!!! Guess what.....The baby came!! And at 9lbs 3oz  SHE is perfect! (Oh & I'm great too!!)   Don't... http://fb.me/1lKYqABnh ,Positive,Positive,Positive
I'm 38 weeks today ,Positive,Positive,Positive
8 days away from my due date and BEYOND over this pregnancy shit  like can she come already ,Positive,Positive,Positive
"lol it's still a mission, especially with my boobs chaffing against my bump.. Oh the burn! Only 10 days until my due date ",Positive,Positive,Positive
"Kaori Sakura Robinson born August 24, 2017 at 5:32pm at 7lbs 7oz 19 1/4 long @ Piedmont Henry… https://instagram.com/p/BYNHCBmlSpm/ ",Positive,Positive,Positive
#babyLorenzo is here! He is healthy and weighed 9lbs 11oz! ,Positive,Positive,Positive
Baby Bellamy has arrived. I'm late. She was born at 6:40 pm and weighed 7 lbs 13 oz!!!! ,Positive,Positive,Positive
Everyone meet Julian Isaiah Escandon 6/21/2015 7lbs 6oz 18inch he's so perfect were so in love with… https://instagram.com/p/4OkSwXAxq9/ ,Positive,Positive,Positive
@TheKristinPrice  @Missy_Lanning  I'm 37 weeks to! ,Positive,Positive,Positive
